Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1010,5/14/2024,5/17/2024,CUST232,Gaurika Oommen,Consumer,PROD7569,Sofa,Furniture,East,Himachal Pradesh,Berhampur,8,4869,15,33109.2,21520.93,11588.27,Cash,Return,Sankar Inc,yashawini34@saraf-bhasin.info,0,Yes,42
ORD1011,4/6/2024,4/13/2024,CUST792,Ira Tata,Consumer,PROD6367,Sugar,Grocery,East,Sikkim,Durgapur,8,897,0,7176,4536,2640,UPI,Delivered,Dhawan Group,tiwarimanthan@kakar.com,41,No,0
ORD1012,11/24/2024,12/1/2024,CUST505,Oscar Chadha,Corporate,PROD6767,File Folder,Office Supplies,South,Haryana,Rajpur Sonarpur,7,4301,15,25590.95,18465.39,7125.56,Cash,Delivered,Tripathi-Sethi,khuranatristan@khalsa.com,27,No,0
ORD1013,12/5/2024,12/10/2024,CUST648,Triya Mallick,Home Office,PROD8049,Office Chair,Furniture,South,Chhattisgarh,Guntakal,4,2249,20,7196.8,5754.46,1442.34,Cash,Pending,"Ganesan, Choudhury and Dugal",bahlanita@balasubramanian.net,36,No,0
ORD1014,7/25/2024,7/30/2024,CUST741,Sara Sheth,Consumer,PROD9277,Sofa,Furniture,East,Punjab,Thiruvananthapuram,6,1903,10,10276.2,8889.87,1386.33,Credit Card,Return,Dash-Mallick,basakvrinda@kunda.com,21,No,0
ORD1015,6/1/2025,6/5/2025,CUST727,Rishi Tak,Corporate,PROD6653,Cooking Oil,Grocery,West,Uttar Pradesh,Raichur,1,3965,10,3568.5,2980.99,587.51,Net Banking,Pending,Halder and Sons,ysinghal@uppal.com,45,No,0
ORD1016,3/13/2026,3/15/2026,CUST260,Yashica Yogi,Home Office,PROD4308,Notebook,Office Supplies,West,Uttar Pradesh,Nagpur,7,2898,10,18257.4,12244.35,6013.05,Net Banking,Pending,"Hegde, Dora and Handa",chaayagrover@sani.net,44,No,0
ORD1017,9/16/2024,9/18/2024,CUST596,Dhriti Chawla,Home Office,PROD1989,Cooking Oil,Grocery,West,Gujarat,Ramgarh,5,2453,10,11038.5,9069.19,1969.31,UPI,Return,Goda-Menon,mbhandari@bora.com,48,No,0
ORD1018,3/25/2025,3/31/2025,CUST542,Nimrat Dewan,Consumer,PROD8818,Laptop,Electronics,East,Rajasthan,Madanapalle,10,2320,15,19720,12584.45,7135.55,Net Banking,Return,"Suresh, Gara and Mohan",balveergala@chacko-subramaniam.com,46,No,0
ORD1019,2/9/2025,2/10/2025,CUST548,Chatresh Kadakia,Corporate,PROD5156,Cooking Oil,Grocery,North,Maharashtra,South Dumdum,10,4323,0,43230,36379.06,6850.94,Credit Card,Cancelled,"Gokhale, Sane and Gola",oeshigupta@bhasin-sarraf.org,31,No,0
ORD1020,1/23/2026,1/25/2026,CUST866,Urishilla Sahni,Corporate,PROD2122,Sofa,Furniture,South,Chhattisgarh,Bidar,6,844,20,4051.2,3072.34,978.86,Net Banking,Return,Agrawal-Vyas,karnikjeremiah@agarwal.com,49,No,0
ORD1021,5/14/2025,5/17/2025,CUST834,Jatin Talwar,Corporate,PROD6699,Stapler,Office Supplies,East,Gujarat,Hyderabad,2,3491,10,6283.8,4105.86,2177.94,Credit Card,Cancelled,"Khare, Edwin and Mani",vigbalvan@bera.com,15,No,0
ORD1022,8/27/2024,9/3/2024,CUST494,Gagan Comar,Consumer,PROD3884,Bookshelf,Furniture,East,Bihar,Singrauli,3,622,10,1679.4,1244.29,435.11,Credit Card,Return,Ramakrishnan and Sons,kavyakhalsa@anand.com,48,No,0
ORD1023,6/9/2025,6/12/2025,CUST853,Qushi Sibal,Corporate,PROD5579,Bookshelf,Furniture,South,Tamil Nadu,Cuttack,3,3144,20,7545.6,6765.39,780.21,Credit Card,Delivered,Chowdhury Ltd,benjaminkashyap@tiwari.com,47,No,0
ORD1024,8/12/2024,8/17/2024,CUST241,Jai Sule,Home Office,PROD2929,Sugar,Grocery,East,Odisha,Tezpur,9,3338,5,28539.9,24690.56,3849.34,Credit Card,Cancelled,"Bhat, Kapadia and Chada",dharharini@soni.org,36,No,0
ORD1025,12/21/2024,12/26/2024,CUST769,Ranveer Bawa,Consumer,PROD1086,Laptop,Electronics,South,Gujarat,Hosur,8,761,5,5783.6,5159.67,623.93,Net Banking,Delivered,"Ganesh, Bajwa and Sandal",bakshiaachal@gara-kale.com,43,No,0
ORD1026,2/7/2026,2/8/2026,CUST698,Bishakha Bir,Consumer,PROD8014,File Folder,Office Supplies,West,Himachal Pradesh,Avadi,4,2072,0,8288,5484.03,2803.97,Net Banking,Pending,Dhar-Purohit,kprasad@dasgupta-choudhry.biz,14,No,0
ORD1027,5/21/2025,5/24/2025,CUST235,Harshil Lad,Home Office,PROD2501,Mouse,Electronics,South,Manipur,Sasaram,2,379,5,720.1,601.04,119.06,Cash,Pending,Nanda-Pau,yagnesh73@gade.biz,1,Yes,45
ORD1028,8/17/2025,8/21/2025,CUST824,Ranveer Banerjee,Corporate,PROD7623,Stapler,Office Supplies,West,Uttarakhand,Tadepalligudem,5,2862,5,13594.5,9859.78,3734.72,Credit Card,Pending,Bahl-Baria,manthan34@chopra-karpe.net,34,No,0
ORD1029,9/29/2025,10/1/2025,CUST681,Tanvi Jhaveri,Consumer,PROD5221,Monitor,Electronics,East,Haryana,Arrah,2,1084,0,2168,1800.1,367.9,Net Banking,Pending,Bhasin-Gola,upillay@mangal-mane.org,7,Yes,36
ORD1030,9/27/2024,10/3/2024,CUST907,Megha Sachar,Consumer,PROD7183,Dining Table,Furniture,South,Punjab,Durgapur,3,4673,5,13318.05,8212.84,5105.21,Net Banking,Return,"Kannan, Bhargava and Goda",sabharwalpriya@wagle-sridhar.net,35,No,0
ORD1031,11/18/2024,11/21/2024,CUST498,Libni Pandit,Consumer,PROD7176,Juice Pack,Grocery,South,Tripura,Raiganj,4,156,15,530.4,378.36,152.04,Credit Card,Pending,Bhavsar and Sons,omaja82@ratta.com,31,No,0
ORD1032,8/5/2025,8/8/2025,CUST171,Bhavika Parekh,Home Office,PROD3200,Headphones,Electronics,West,Assam,Bokaro,8,4756,0,38048,29197.97,8850.03,UPI,Cancelled,Varty Ltd,kalpitkhalsa@murty.biz,22,No,0
ORD1033,3/17/2026,3/21/2026,CUST795,Naveen Parekh,Home Office,PROD2781,Mouse,Electronics,East,Odisha,Varanasi,5,1357,20,5428,4350.54,1077.46,UPI,Delivered,Sunder-Anand,kashviganguly@pandey.com,50,No,0
ORD1034,6/20/2025,6/25/2025,CUST396,Oeshi Chacko,Corporate,PROD7577,Pan,Office Supplies,North,Odisha,Haridwar,7,2483,15,14773.85,12632.64,2141.21,Credit Card,Cancelled,"Madan, Sharma and Sarin",anshraman@khatri.biz,20,No,0
ORD1035,11/4/2025,11/10/2025,CUST717,Abha Sridhar,Corporate,PROD9003,Keyboard,Electronics,West,Nagaland,Pali,4,1056,10,3801.6,3200.76,600.84,Cash,Cancelled,Aurora and Sons,ubuch@sane.com,24,No,0
ORD1036,9/5/2024,9/10/2024,CUST658,Jonathan Ganesan,Home Office,PROD9009,Office Chair,Furniture,South,Mizoram,Dhanbad,9,1490,20,10728,8102.6,2625.4,UPI,Cancelled,"Raja, Dora and Shroff",cmadan@raval.com,4,Yes,37
ORD1037,10/16/2025,10/23/2025,CUST539,Yauvani Gopal,Home Office,PROD4980,Pan,Office Supplies,North,Madhya Pradesh,Begusarai,2,1359,15,2310.3,1579.61,730.69,Net Banking,Return,Palan LLC,regeliam@ahuja-kumer.net,9,Yes,32
ORD1038,7/29/2025,7/30/2025,CUST474,Ishanvi Jayaraman,Home Office,PROD4334,Headphones,Electronics,East,Rajasthan,Vijayanagaram,5,2458,10,11061,7396.22,3664.78,Net Banking,Cancelled,Mandal Inc,idika82@mandal.com,32,No,0
ORD1039,1/5/2026,1/9/2026,CUST239,Ranbir Sankaran,Home Office,PROD7674,Bookshelf,Furniture,North,Odisha,Rampur,3,3715,15,9473.25,5780.29,3692.96,Credit Card,Pending,Sama-Mani,anirudhdin@brar.com,32,No,0
ORD1040,7/26/2025,7/31/2025,CUST936,Abhiram Arya,Home Office,PROD2057,Bookshelf,Furniture,East,Tamil Nadu,Nanded,2,4619,15,7852.3,5546.6,2305.7,Net Banking,Pending,Pillay-Dhingra,neel22@hayer.com,20,No,0
ORD1041,6/27/2024,7/2/2024,CUST986,Saumya Setty,Corporate,PROD5853,Calculator,Office Supplies,South,Arunachal Pradesh,Kottayam,6,1993,0,11958,9006.96,2951.04,Net Banking,Cancelled,Karnik-Gill,nagifrederick@swaminathan.com,41,No,0
ORD1042,12/7/2025,12/10/2025,CUST672,Tarak Padmanabhan,Corporate,PROD3415,Rice Bag,Grocery,South,Kerala,Kolhapur,6,1936,0,11616,10249.92,1366.08,Cash,Delivered,Bhatti Ltd,girik61@dalal.biz,22,No,0
ORD1043,6/4/2025,6/10/2025,CUST980,Agastya Ratti,Corporate,PROD7191,Keyboard,Electronics,West,Manipur,Khora ,6,3811,15,19436.1,15133.65,4302.45,Cash,Return,Nanda Ltd,urmiarora@lalla-bhatia.biz,21,No,0
ORD1044,10/22/2025,10/25/2025,CUST424,Indrajit Lanka,Home Office,PROD5614,File Folder,Office Supplies,North,Manipur,Shimla,4,1336,5,5076.8,3352.51,1724.29,UPI,Delivered,Raghavan Ltd,farispatla@dutta.com,30,No,0
ORD1045,3/12/2026,3/17/2026,CUST401,Viraj Aggarwal,Consumer,PROD4399,Sofa,Furniture,West,Meghalaya,Hospet,7,216,5,1436.4,1100.06,336.34,Credit Card,Return,Upadhyay Group,chandresh36@pillai.com,12,No,0
ORD1046,5/20/2025,5/24/2025,CUST796,Victor Roy,Corporate,PROD5045,Dining Table,Furniture,North,Gujarat,Khora ,8,4522,20,28940.8,20041.86,8898.94,Net Banking,Pending,Joshi Inc,vincent07@baral.com,18,No,0
ORD1047,3/16/2025,3/18/2025,CUST365,Yashica Gade,Corporate,PROD4462,Office Chair,Furniture,South,Mizoram,Akola,9,1773,0,15957,10046.18,5910.82,Credit Card,Return,Gole-Nagarajan,rraghavan@dara-more.org,1,Yes,27
ORD1048,7/5/2025,7/6/2025,CUST332,Unnati Khatri,Home Office,PROD9759,Sugar,Grocery,South,Jharkhand,Machilipatnam,10,1870,0,18700,13812.51,4887.49,Credit Card,Delivered,Deshmukh-D’Alia,tara26@dyal.com,37,No,0
ORD1049,12/14/2024,12/19/2024,CUST146,Aishani Madan,Corporate,PROD6487,Cooking Oil,Grocery,South,Arunachal Pradesh,Dharmavaram,8,2912,15,19801.6,16951.21,2850.39,Credit Card,Pending,"Dubey, Modi and Loyal",thakeralexander@mitra-kota.net,40,No,0
ORD1050,12/1/2025,12/6/2025,CUST374,Fiyaz Vasa,Home Office,PROD4179,Study Table,Furniture,South,Haryana,Ratlam,2,3310,5,6289,4574.77,1714.23,Cash,Cancelled,Deol-Singh,ochoudhury@anne.com,3,Yes,23
ORD1051,1/27/2025,1/30/2025,CUST737,Tamanna Khurana,Corporate,PROD7353,Office Chair,Furniture,South,Meghalaya,Ambattur,8,1407,5,10693.2,6649.65,4043.55,UPI,Return,Narayan LLC,oommenharita@mandal.biz,21,No,0
ORD1052,9/19/2024,9/23/2024,CUST158,Umang Kibe,Consumer,PROD8728,Mouse,Electronics,East,Assam,Bharatpur,1,1670,10,1503,1156.33,346.67,UPI,Return,Shetty-Tella,ekanta34@bhavsar.net,21,No,0
ORD1053,11/8/2024,11/9/2024,CUST265,Balveer Mangal,Corporate,PROD4954,Sugar,Grocery,South,Assam,Kota,2,1122,0,2244,1374.01,869.99,Credit Card,Return,"Chaudhry, Mangal and Dhawan",finn40@rai.info,2,Yes,49
ORD1054,4/22/2024,4/28/2024,CUST640,Hiral Narasimhan,Home Office,PROD6560,Dining Table,Furniture,North,Odisha,Srinagar,9,2175,20,15660,11864.4,3795.6,Cash,Return,Upadhyay-Solanki,xmital@pillay.info,29,No,0
ORD1055,2/11/2025,2/16/2025,CUST933,Tejas Krishnan,Home Office,PROD9437,Study Table,Furniture,South,Chhattisgarh,Phagwara,3,3132,10,8456.4,5758.53,2697.87,Cash,Return,Nori-Lal,indiramorar@sha.biz,49,No,0
ORD1056,11/26/2025,12/3/2025,CUST721,Ijaya Gopal,Consumer,PROD1772,Mouse,Electronics,South,West Bengal,Tinsukia,6,1433,5,8168.1,6527.49,1640.61,UPI,Return,Balay LLC,xanand@kakar.com,22,No,0
ORD1057,6/12/2025,6/19/2025,CUST905,Edhitha Pau,Corporate,PROD7321,Bookshelf,Furniture,South,Punjab,Thoothukudi,6,3361,10,18149.4,13217.6,4931.8,Credit Card,Pending,Ravi Group,adityawason@goswami.com,26,No,0
ORD1058,4/13/2024,4/20/2024,CUST294,Tanveer Mangat,Corporate,PROD9555,Cooking Oil,Grocery,South,Rajasthan,Solapur,2,2681,0,5362,3471.12,1890.88,Cash,Pending,"Prashad, Tak and Mittal",danielchand@bahl.info,0,Yes,26
ORD1059,2/13/2026,2/18/2026,CUST805,Saanvi Kade,Corporate,PROD4258,Notebook,Office Supplies,East,Nagaland,Parbhani,5,2030,5,9642.5,7146.2,2496.3,UPI,Delivered,Chaudhry PLC,saxenaqabil@mahajan.biz,34,No,0
ORD1060,5/25/2024,5/31/2024,CUST683,Ishanvi Divan,Consumer,PROD4925,Pan,Office Supplies,East,Chhattisgarh,Rewa,10,2821,10,25389,15332.85,10056.15,UPI,Return,"Sabharwal, Wali and Savant",tandonkrishna@gera.org,16,No,0
ORD1061,5/7/2024,5/11/2024,CUST967,Hardik Amble,Home Office,PROD3164,Laptop,Electronics,North,Andhra Pradesh,Latur,4,4586,5,17426.8,14469.45,2957.35,Cash,Pending,Dugal and Sons,rattajanaki@dalia.com,6,Yes,38
ORD1062,3/5/2026,3/7/2026,CUST293,Kritika Bhalla,Consumer,PROD7449,Calculator,Office Supplies,North,Gujarat,Ajmer,5,2259,0,11295,7021.4,4273.6,UPI,Return,Madan-Bhattacharyya,prisha59@rai-bhatnagar.org,4,Yes,28
ORD1063,5/17/2024,5/22/2024,CUST620,Ekapad Purohit,Home Office,PROD3228,Headphones,Electronics,West,Maharashtra,Shimoga,1,3035,10,2731.5,2447.12,284.38,Credit Card,Cancelled,"Ramakrishnan, Borde and Sarraf",qbarad@muni-babu.org,16,No,0
ORD1064,2/5/2025,2/12/2025,CUST871,Arunima Babu,Home Office,PROD3609,Sugar,Grocery,East,Tripura,Bhavnagar,6,3678,15,18757.8,15875.27,2882.53,UPI,Pending,"Hegde, Bala and Gour",misravrinda@srinivas-mandal.biz,41,No,0
ORD1065,10/31/2025,11/4/2025,CUST493,Ria Bal,Home Office,PROD3035,File Folder,Office Supplies,East,Nagaland,Jamshedpur,7,4089,20,22898.4,15354.79,7543.61,Credit Card,Return,"Grewal, Saini and Edwin",kadakiaxalak@yadav-randhawa.biz,6,Yes,32
ORD1066,1/20/2026,1/22/2026,CUST565,Riya Bandi,Consumer,PROD5408,Pan,Office Supplies,West,Mizoram,Davanagere,3,3774,10,10189.8,8092.28,2097.52,Net Banking,Pending,"Bhandari, Hayre and Dave",benkrish@sanghvi.net,20,No,0
ORD1067,7/15/2024,7/18/2024,CUST946,Indrajit Lanka,Consumer,PROD5343,Keyboard,Electronics,West,Jharkhand,Moradabad,2,359,0,718,598.93,119.07,Net Banking,Delivered,"Garg, Aurora and Natarajan",ijaya86@chaudhary.org,4,Yes,27
ORD1068,1/16/2026,1/21/2026,CUST855,Xalak Ghosh,Consumer,PROD6917,Mouse,Electronics,North,Uttarakhand,Ranchi,3,413,0,1239,794.16,444.84,Net Banking,Delivered,"Sachdeva, Gola and Bains",mde@arora.com,36,No,0
ORD1069,6/8/2024,6/12/2024,CUST203,Vedika Mannan,Home Office,PROD5227,Sofa,Furniture,South,Uttar Pradesh,Ambattur,4,3320,15,11288,7367.96,3920.04,Credit Card,Delivered,Sawhney Ltd,mmandal@jani-khatri.com,38,No,0
ORD1070,1/15/2025,1/21/2025,CUST633,Zehaan Bava,Corporate,PROD3275,Laptop,Electronics,West,Madhya Pradesh,Raipur,2,2176,15,3699.2,2964.53,734.67,Cash,Pending,Srinivas Inc,sanya08@dash.info,23,No,0
ORD1071,1/15/2026,1/20/2026,CUST420,Aayush Sengupta,Consumer,PROD8368,Dining Table,Furniture,South,Jharkhand,Pimpri-Chinchwad,1,4402,20,3521.6,2368.35,1153.25,UPI,Delivered,Banik LLC,rachana21@trivedi-batta.com,40,No,0
ORD1072,4/21/2024,4/24/2024,CUST103,Isaac Chada,Corporate,PROD8350,Rice Bag,Grocery,East,Kerala,Secunderabad,4,2786,15,9472.4,6936.39,2536.01,Cash,Delivered,"Mangat, Banik and Butala",januja96@sagar.biz,21,No,0
ORD1073,5/2/2024,5/9/2024,CUST257,Bahadurjit Parikh,Consumer,PROD2818,File Folder,Office Supplies,West,Nagaland,Tenali,5,1256,20,5024,4404.96,619.04,Credit Card,Pending,Nigam-Jain,rohan71@chakraborty-jhaveri.info,6,Yes,20
ORD1074,9/4/2024,9/9/2024,CUST340,Wazir Sodhi,Home Office,PROD2523,Pan,Office Supplies,North,Goa,Jhansi,3,495,5,1410.75,1003.4,407.35,Cash,Delivered,"Wali, Butala and Mangal",mishrahiral@rai.com,48,No,0
ORD1075,1/18/2026,1/22/2026,CUST989,Neha Sundaram,Home Office,PROD7590,Cooking Oil,Grocery,South,Nagaland,Sambhal,9,2872,15,21970.8,14127.13,7843.67,UPI,Delivered,Bakshi-Menon,pantpahal@chahal-saha.com,34,No,0
ORD1076,1/29/2026,1/30/2026,CUST249,Bachittar Bhardwaj,Home Office,PROD6311,Study Table,Furniture,West,West Bengal,Sambalpur,9,861,10,6974.1,5597.93,1376.17,Credit Card,Cancelled,Balan-Sundaram,maneidika@nanda.info,45,No,0
ORD1077,8/4/2024,8/9/2024,CUST426,Rushil Venkataraman,Home Office,PROD4812,Headphones,Electronics,East,Tamil Nadu,Nellore,9,2207,20,15890.4,12012.7,3877.7,Cash,Return,Mani PLC,adya62@setty.com,36,No,0
ORD1078,7/7/2024,7/13/2024,CUST840,Jeremiah Khurana,Home Office,PROD8799,Sugar,Grocery,East,Kerala,Darbhanga,1,4650,5,4417.5,3705.84,711.66,Cash,Delivered,"Bose, Krishnamurthy and Master",chaaya01@sen.com,14,No,0
ORD1079,2/21/2026,2/27/2026,CUST686,Bhavika Raja,Consumer,PROD3236,Bookshelf,Furniture,South,Madhya Pradesh,Gandhinagar,8,1518,15,10322.4,7559.57,2762.83,Net Banking,Pending,Dayal-Agrawal,wriddhishlala@mukherjee.com,23,No,0
ORD1080,6/13/2025,6/14/2025,CUST797,Hardik Randhawa,Corporate,PROD3108,Cooking Oil,Grocery,East,Haryana,Meerut,7,2192,0,15344,12158.05,3185.95,Cash,Delivered,"Sridhar, Anand and Chatterjee",reyansh49@bir-dube.com,3,Yes,39
ORD1081,8/9/2025,8/14/2025,CUST439,Logan Oak,Consumer,PROD6259,Office Chair,Furniture,East,Karnataka,Meerut,3,1525,20,3660,2281.31,1378.69,Credit Card,Return,Grover and Sons,xtailor@parekh.net,13,No,0
ORD1082,12/12/2025,12/16/2025,CUST905,Hemal Madan,Consumer,PROD7610,Headphones,Electronics,North,Gujarat,Darbhanga,4,1270,0,5080,3181.99,1898.01,UPI,Delivered,Sarna-Iyengar,madhavisant@dhar.org,41,No,0
ORD1083,4/17/2025,4/23/2025,CUST472,Robert Bora,Corporate,PROD7745,Office Chair,Furniture,South,Maharashtra,Kakinada,4,3801,15,12923.4,8687,4236.4,UPI,Cancelled,Vyas LLC,choprashivansh@doctor.com,19,No,0
ORD1084,4/7/2025,4/9/2025,CUST333,Urmi Sridhar,Home Office,PROD1500,Sugar,Grocery,North,Odisha,Delhi,8,210,10,1512,1123.07,388.93,UPI,Delivered,"Walla, Sama and Kohli",soodchaitaly@talwar.org,28,No,0
ORD1085,4/7/2025,4/12/2025,CUST545,Varenya Manne,Home Office,PROD4021,File Folder,Office Supplies,East,Uttar Pradesh,Hindupur,1,1736,0,1736,1257.9,478.1,UPI,Return,Lata Group,rushil55@pillay-chander.org,22,No,0
ORD1086,9/22/2025,9/28/2025,CUST288,Ekapad Balasubramanian,Corporate,PROD1158,Mouse,Electronics,South,Punjab,Amritsar,1,2873,10,2585.7,1853.26,732.44,UPI,Pending,Brahmbhatt-Chandra,anirudhnarang@rama.biz,34,No,0
ORD1087,12/7/2025,12/11/2025,CUST453,Mugdha Gandhi,Corporate,PROD8221,Stapler,Office Supplies,West,Chhattisgarh,Jabalpur,9,3262,15,24954.3,15033.91,9920.39,Net Banking,Return,Parmer Ltd,harishvig@kumer-balan.info,34,No,0
ORD1088,9/21/2025,9/25/2025,CUST301,Triya Maharaj,Consumer,PROD3359,Cooking Oil,Grocery,East,Nagaland,Bhavnagar,4,3153,20,10089.6,8663.13,1426.47,Cash,Delivered,Comar-Thaman,hayerkashish@joshi.com,34,No,0
ORD1089,5/4/2024,5/6/2024,CUST980,Arin Gade,Home Office,PROD1491,Dining Table,Furniture,South,Chhattisgarh,Dewas,6,505,15,2575.5,1883.56,691.94,UPI,Return,Chakraborty PLC,nagarurvashi@guha-ganesh.com,1,Yes,37
ORD1090,8/17/2025,8/22/2025,CUST153,Garima Wali,Home Office,PROD2269,File Folder,Office Supplies,West,Rajasthan,Bhilai,10,4300,15,36550,28149.21,8400.79,Cash,Return,Dayal PLC,fbir@sheth-samra.com,3,Yes,50
ORD1091,6/28/2025,6/29/2025,CUST388,Amruta Tandon,Home Office,PROD8531,Bookshelf,Furniture,West,Uttar Pradesh,Nagaon,7,4157,10,26189.1,16866.14,9322.96,UPI,Delivered,Chaudhary and Sons,ganeshojas@sahni-loke.net,11,No,0
ORD1092,2/14/2025,2/20/2025,CUST113,Hemangini Subramaniam,Home Office,PROD3412,Mouse,Electronics,South,Gujarat,Siliguri,6,4884,15,24908.4,18197.47,6710.93,Cash,Cancelled,Acharya-Parikh,cmahal@johal-atwal.com,11,No,0
ORD1093,11/4/2024,11/6/2024,CUST884,Hritik Tata,Consumer,PROD4125,Rice Bag,Grocery,North,Telangana,Udaipur,1,4266,15,3626.1,2641.36,984.74,Cash,Cancelled,Date-Jani,borahaarnav@anand.com,44,No,0
ORD1094,11/30/2024,12/4/2024,CUST951,Niharika Rai,Home Office,PROD6844,Juice Pack,Grocery,North,Mizoram,Ludhiana,1,148,0,148,119.23,28.77,UPI,Cancelled,"Sangha, Prashad and Cherian",choudhrybaljiwan@goda.com,40,No,0
ORD1095,11/8/2025,11/10/2025,CUST411,Champak Sachar,Home Office,PROD7439,Laptop,Electronics,South,Haryana,Nellore,2,2315,10,4167,2847.64,1319.36,Net Banking,Delivered,Sani-Parsa,tejas03@ravel.biz,49,No,0
ORD1096,10/30/2025,11/4/2025,CUST201,Jai Saha,Corporate,PROD5136,Laptop,Electronics,West,Uttar Pradesh,Bhilwara,9,2790,0,25110,15834.12,9275.88,Cash,Cancelled,Jayaraman-Bhat,danielraja@sundaram.com,40,No,0
ORD1097,9/14/2025,9/20/2025,CUST477,Caleb Ganguly,Home Office,PROD4076,Keyboard,Electronics,North,Uttarakhand,Malegaon,7,872,10,5493.6,3593.14,1900.46,UPI,Delivered,"Saxena, Subramaniam and Bhargava",modidakshesh@khanna.biz,20,No,0
ORD1098,7/20/2025,7/27/2025,CUST867,Avni Bhandari,Home Office,PROD8153,Office Chair,Furniture,West,Karnataka,Narasaraopet,10,1823,5,17318.5,11028.32,6290.18,Credit Card,Pending,Shere Group,bhavini53@chowdhury.com,8,Yes,24
ORD1099,1/11/2026,1/15/2026,CUST633,Farhan Chaudhary,Home Office,PROD6439,Bookshelf,Furniture,North,Gujarat,Mira-Bhayandar,1,2207,20,1765.6,1190.35,575.25,Credit Card,Return,Contractor Inc,mprasad@borra.biz,23,No,0
ORD1100,12/26/2024,12/29/2024,CUST250,Jasmit Kata,Consumer,PROD6637,Keyboard,Electronics,East,Punjab,Durgapur,7,1402,20,7851.2,5363.46,2487.74,UPI,Return,Dara LLC,zsoni@mallick-malhotra.com,28,No,0
ORD1101,5/6/2025,5/9/2025,CUST396,Rudra Nagy,Corporate,PROD2851,Juice Pack,Grocery,North,Maharashtra,Bijapur,3,4173,20,10015.2,6791.29,3223.91,Credit Card,Return,"Chowdhury, Sodhi and Brar",qbala@modi.info,50,No,0
ORD1102,8/31/2025,9/7/2025,CUST125,Yatin Setty,Home Office,PROD9914,Pan,Office Supplies,West,Manipur,Madurai,7,1051,10,6621.3,5930.46,690.84,Net Banking,Delivered,Ganguly-Bhasin,pratyushpal@pal-bhalla.net,31,No,0
